SKU,Наличност,Бройки,Цена (лв.)
958848,Изчерпан,-,342.00
958847,Наличен,-,327.99
958850,Наличен,-,125.00
958851,Наличен,-,132.00
958852,Наличен,-,149.00
958277,Наличен,-,372.00
958278,Наличен,-,374.99
958274,Наличен,-,260.01
958275,Наличен,-,272.99
958276,Наличен,-,392.01
956958,Наличен,-,296.00
957653,Наличен,-,322.01
956515,Наличен,-,239.00
956514,Наличен,-,242.99
956143,Наличен,-,279.00
956144,Наличен,-,280.00
956145,Наличен,-,288.00
956516,Наличен,-,296.00
955678,Наличен,-,323.01
958269,Наличен,-,232.00
954808,Наличен,-,232.00
954807,Наличен,-,238.00
954806,Наличен,-,241.99
954805,Изчерпан,-,255.00
959973,Наличен,-,255.00
954582,Наличен,-,241.99
954581,Наличен,-,258.99
954580,Наличен,-,240.00
954579,Наличен,-,258.99
954810,Наличен,-,245.01
954135,Наличен,-,195.99
954134,Наличен,-,226.00
961102,Наличен,-,245.01
959888,Изчерпан,-,276.01
952070,Наличен,-,245.01
952073,Изчерпан,-,175.01
952062,Наличен,-,202.00
952061,Наличен,-,209.00
952060,Наличен,-,210.00
952059,Наличен,-,219.99
951965,Наличен,-,458.00
948778,Наличен,-,529.99
948779,Наличен,-,550.00
948780,Изчерпан,-,559.00
948781,Наличен,-,579.00
951967,Наличен,-,486.00
948783,Наличен,-,645.99
948775,Изчерпан,-,41.31
948776,Изчерпан,-,42.79
948777,Наличен,-,186.00
946214,Наличен,-,311.99
943913,Наличен,-,333.00
943914,Наличен,-,374.99
932707,Наличен,-,272.99
932708,Наличен,-,280.00
930487,Наличен,-,289.99
932709,Наличен,-,300.00
932710,Наличен,-,297.99
930488,Наличен,-,325.00
930489,Наличен,-,319.00
930490,Наличен,-,327.99
932711,Наличен,-,346.01
941336,Наличен,-,373.00
941337,Наличен,-,396.00
930486,Наличен,-,295.00
951349,Наличен,-,74.01
943019,Наличен,-,78.00
946127,Наличен,-,79.99
941952,Наличен,-,69.00
955776,Наличен,-,79.99
951347,Наличен,-,78.00
955778,Наличен,-,82.01
941953,Наличен,-,71.99
946126,Наличен,-,82.01
945809,Наличен,-,63.00
936239,Наличен,-,64.99
936240,Наличен,-,70.00
945810,Наличен,-,78.00
936241,Наличен,-,85.00
936242,Наличен,-,88.99
951331,Наличен,-,110.00
211214,Изчерпан,-,49.21
190907,Наличен,-,25.80
190908,Наличен,-,28.81
190909,Наличен,-,32.60
920482,Наличен,-,23.20
920483,Наличен,-,28.30
947335,Изчерпан,-,76.00
947336,Наличен,-,82.01
947332,Изчерпан,-,57.99
947333,Наличен,-,66.01
947334,Наличен,-,69.00
926930,Наличен,-,29.00
927231,Изчерпан,-,29.90
926931,Изчерпан,-,35.50
926932,Изчерпан,-,36.91
927233,Наличен,-,42.79
927232,Изчерпан,-,32.80
955850,Изчерпан,-,99.00
955851,Наличен,-,114.01
948332,Наличен,-,78.00
947940,Наличен,-,79.00
948735,Наличен,-,106.01
948736,Наличен,-,111.99
948327,Наличен,-,129.01
948328,Наличен,-,145.01
947399,Наличен,-,75.01
947400,Наличен,-,79.99
947401,Наличен,-,87.99
948722,Наличен,-,66.01
948723,Наличен,-,71.99
939476,Наличен,-,25.50
938297,Наличен,-,29.90
938298,Наличен,-,35.60
922769,Наличен,-,72.99
922770,Наличен,-,79.00
922766,Наличен,-,5.20
932655,Наличен,-,47.90
926925,Наличен,-,64.99
922813,Наличен,-,85.00
922814,Наличен,-,115.00
920507,Наличен,-,22.49
920508,Наличен,-,23.29
920509,Наличен,-,24.80
920510,Наличен,-,27.60
921296,Наличен,-,44.20
920505,Наличен,-,52.01
921173,Наличен,-,56.00
171205,Наличен,-,32.80
171206,Наличен,-,42.79
171207,Наличен,-,47.19
171212,Наличен,-,27.50
171213,Наличен,-,28.91
171214,Наличен,-,31.61
171215,Наличен,-,34.79
920468,Наличен,-,38.90
171210,Наличен,-,23.20
171211,Наличен,-,28.91
171208,Наличен,-,19.60
171209,Наличен,-,25.60
941908,Наличен,-,116.00
941909,Наличен,-,124.00
932614,Наличен,-,84.00
932615,Наличен,-,87.99
948756,Наличен,-,72.99
948757,Наличен,-,106.01
948758,Наличен,-,145.01
947345,Наличен,-,109.00
947346,Наличен,-,128.01
944208,Изчерпан,-,66.69
944207,Изчерпан,-,222.01
932605,Наличен,-,46.39
932606,Изчерпан,-,55.10
932607,Наличен,-,83.01
944926,Наличен,-,102.99
944927,Наличен,-,120.01
933224,Наличен,-,11.60
931710,Наличен,-,14.49
931711,Наличен,-,20.01
931712,Наличен,-,31.20
920470,Наличен,-,20.20
920471,Наличен,-,23.90
920472,Наличен,-,31.20
150601,Наличен,-,18.80
150602,Наличен,-,21.49
150603,Наличен,-,28.30
150604,Наличен,-,34.50
150605,Наличен,-,35.79
920469,Наличен,-,37.59
925994,Наличен,-,64.99
935289,Наличен,-,53.49
935290,Наличен,-,64.60
935291,Наличен,-,83.01
923025,Изчерпан,-,28.81
923026,Наличен,-,48.00
923027,Наличен,-,52.01
958962,Наличен,-,82.01
958964,Наличен,-,87.00
958966,Наличен,-,93.00
958597,Наличен,-,53.00
958598,Наличен,-,62.00
958599,Наличен,-,63.99
932799,Наличен,-,66.01
932800,Наличен,-,75.01
932801,Наличен,-,79.00
959361,Наличен,-,240.00
943217,Наличен,-,95.99
943218,Наличен,-,102.99
948701,Наличен,-,62.51
948702,Наличен,-,68.00
948703,Наличен,-,71.99
948710,Наличен,-,138.00
948707,Наличен,-,105.01
948708,Наличен,-,122.00
948709,Изчерпан,-,128.01
948759,Наличен,-,94.99
948760,Наличен,-,109.00
948761,Наличен,-,116.00
948762,Изчерпан,-,123.00
948724,Изчерпан,-,76.00
948725,Изчерпан,-,79.99
948726,Наличен,-,100.00
948727,Наличен,-,71.99
948728,Наличен,-,72.99
948729,Наличен,-,87.00
948730,Наличен,-,87.99
948731,Наличен,-,90.01
944981,Изчерпан,-,91.40
944982,Изчерпан,-,132.00
943215,Наличен,-,105.01
943216,Наличен,-,95.70
928448,Наличен,-,46.29
928222,Наличен,-,49.31
928447,Наличен,-,52.91
927235,Наличен,-,62.00
926927,Наличен,-,63.99
927236,Наличен,-,64.99
926928,Наличен,-,68.00
927234,Наличен,-,57.99
926926,Наличен,-,61.00
932705,Наличен,-,283.01
932706,Наличен,-,283.01
932703,Наличен,-,222.01
932704,Наличен,-,272.99
929958,Наличен,-,109.00
929959,Наличен,-,125.00
922773,Наличен,-,87.99
922774,Наличен,-,94.99
948330,Наличен,-,98.01
947941,Наличен,-,105.01
948331,Наличен,-,118.99
932611,Наличен,-,78.00
932612,Наличен,-,83.01
201512,Наличен,-,79.00
928221,Наличен,-,82.01
958507,Наличен,-,78.00
948716,Наличен,-,134.99
948711,Наличен,-,92.00
948712,Наличен,-,95.99
948713,Наличен,-,102.00
948714,Наличен,-,105.01
948717,Наличен,-,159.01
938110,Изчерпан,-,87.00
937120,Наличен,-,126.99
937118,Наличен,-,128.01
937119,Наличен,-,132.00
948764,Наличен,-,70.00
948765,Наличен,-,72.99
948766,Изчерпан,-,76.00
950801,Наличен,-,19.50
948769,Наличен,-,110.00
948768,Наличен,-,105.01
944347,Наличен,-,64.99
929956,Наличен,-,66.01
944348,Наличен,-,68.00
953472,Наличен,-,71.99
929957,Наличен,-,71.99
953473,Наличен,-,75.01
953474,Наличен,-,79.00
922234,Наличен,-,75.01
922235,Изчерпан,-,86.00
922236,Наличен,-,102.00
960553,Наличен,-,29.00
960554,Наличен,-,35.01
956043,Изчерпан,-,33.89
956044,Изчерпан,-,44.91
956045,Наличен,-,57.99
948771,Наличен,-,93.00
948770,Наличен,-,106.01
948754,Наличен,-,118.99
948755,Наличен,-,141.99
923028,Наличен,-,49.99
923029,Наличен,-,53.00
100903,Наличен,-,45.81
927286,Наличен,-,47.51
935747,Наличен,-,69.61
935748,Наличен,-,76.00
947828,Наличен,-,99.00
930203,Наличен,-,20.50
930204,Наличен,-,21.01
930205,Наличен,-,23.51
953471,Изчерпан,-,87.99
953557,Наличен,-,46.51
953558,Наличен,-,47.51
953559,Наличен,-,51.91
955579,Наличен,-,36.50
955580,Наличен,-,37.90
955581,Наличен,-,40.90
955582,Наличен,-,42.50
954169,Изчерпан,-,106.01
954170,Наличен,-,113.01
954177,Наличен,-,153.00
954416,Наличен,-,87.99
955020,Наличен,-,69.00
953961,Наличен,-,78.00
954159,Наличен,-,108.00
954164,Наличен,-,133.00
954172,Наличен,-,160.01
954438,Наличен,-,170.00
954165,Наличен,-,185.00
954152,Изчерпан,-,253.01
954163,Наличен,-,198.01
953975,Наличен,-,185.00
955338,Наличен,-,199.01
953977,Наличен,-,79.00
954441,Изчерпан,-,83.01
954442,Наличен,-,93.00
954157,Наличен,-,76.00
954746,Наличен,-,83.01
954747,Наличен,-,102.00
954748,Наличен,-,118.00
954158,Наличен,-,122.00
954180,Изчерпан,-,64.99
953985,Наличен,-,72.99
954449,Наличен,-,78.00
954454,Наличен,-,115.00
954455,Наличен,-,116.00
954456,Наличен,-,128.01
954181,Наличен,-,123.00
954751,Наличен,-,155.00
954752,Наличен,-,157.99
954917,Наличен,-,182.01
954753,Наличен,-,182.01
954754,Наличен,-,195.99
955241,Наличен,-,234.99
955250,Наличен,-,195.99
954755,Наличен,-,245.01
953983,Изчерпан,-,59.01
955021,Наличен,-,172.99
954439,Наличен,-,195.99
955339,Наличен,-,195.00
955386,Наличен,-,253.01
955337,Наличен,-,106.01
954426,Изчерпан,-,118.00
956843,Наличен,-,165.99
956842,Наличен,-,157.99
956642,Изчерпан,-,175.01
956477,Изчерпан,-,175.01
956478,Наличен,-,167.01
956479,Наличен,-,167.01
956644,Наличен,-,190.01
956480,Наличен,-,198.01
940939,Наличен,-,15.29
940940,Наличен,-,15.90
940941,Наличен,-,17.50
954167,Изчерпан,-,155.00
954168,Изчерпан,-,179.00
953970,Наличен,-,134.99
953947,Наличен,-,85.00
953955,Наличен,-,55.00
953957,Изчерпан,-,64.99
954161,Наличен,-,87.99
953986,Изчерпан,-,83.01
954572,Изчерпан,-,87.99
953987,Наличен,-,94.99
954668,Изчерпан,-,136.01
953959,Наличен,-,353.01
954432,Наличен,-,138.00
955237,Изчерпан,-,216.00
954417,Изчерпан,-,53.00
953950,Изчерпан,-,55.00
954156,Изчерпан,-,63.00
954419,Изчерпан,-,85.00
953951,Изчерпан,-,72.99
100905,Наличен,-,9.41
920758,Изчерпан,-,9.41
100904,Наличен,-,9.41
949203,Наличен,-,21.01
949204,Наличен,-,21.49
949205,Наличен,-,21.49
938787,Наличен,-,9.51
938788,Наличен,-,16.00
945288,Наличен,-,2.60
930208,Наличен,-,2.19
930209,Наличен,-,2.31
930214,Наличен,-,2.80
947825,Наличен,-,21.30
947827,Наличен,-,21.49
943993,Наличен,-,1.51
943994,Наличен,-,1.51
943990,Наличен,-,1.29
943991,Наличен,-,1.29
943992,Наличен,-,1.60
934006,Наличен,-,9.99
934005,Наличен,-,9.41
930215,Наличен,-,2.19
930216,Наличен,-,2.80
949544,Наличен,-,2.80
933370,Наличен,-,2.80
949545,Наличен,-,2.80
920757,Наличен,-,11.50
100902,Наличен,-,18.89
937644,Наличен,-,10.89
937642,Наличен,-,10.89
937643,Изчерпан,-,11.60
932724,Наличен,-,240.70
937640,Наличен,-,15.20
937641,Изчерпан,-,16.00
948255,Наличен,-,125.00
946817,Изчерпан,-,134.99
942307,Наличен,-,52.01
941606,Изчерпан,-,77.00
930213,Наличен,-,34.50
935749,Наличен,-,35.50
948254,Наличен,-,94.99
948252,Наличен,-,79.99
948253,Наличен,-,85.00
947788,Наличен,-,63.00
947789,Наличен,-,64.99
947790,Наличен,-,68.00
947816,Наличен,-,36.30
947817,Наличен,-,37.81
947818,Наличен,-,41.50
947819,Наличен,-,42.79
947824,Наличен,-,113.11
947826,Наличен,-,113.11
946816,Изчерпан,-,115.00
945261,Наличен,-,65.31
945262,Наличен,-,69.61
945263,Наличен,-,71.09
944896,Наличен,-,49.99
944898,Наличен,-,53.39
944899,Наличен,-,54.80
944984,Изчерпан,-,162.00
960886,Наличен,-,68.00
960887,Наличен,-,71.99
960885,Наличен,-,64.99
942302,Наличен,-,15.90
942303,Наличен,-,17.19
940934,Наличен,-,28.30
940935,Наличен,-,30.49
940936,Наличен,-,33.50
940937,Наличен,-,42.89
935695,Наличен,-,159.50
935694,Наличен,-,52.20
933885,Наличен,-,18.80
932033,Наличен,-,8.90
930206,Наличен,-,20.01
930207,Наличен,-,21.49
930210,Наличен,-,22.49
930211,Наличен,-,25.50
930212,Наличен,-,27.50
961000,Наличен,-,142.99
962271,Наличен,-,149.00
960999,Наличен,-,164.99
958353,Наличен,-,69.00
958354,Наличен,-,82.01
958355,Наличен,-,69.00
959596,Наличен,-,82.01
958344,Наличен,-,128.01
958345,Наличен,-,138.00
958346,Наличен,-,145.01
958347,Наличен,-,102.00
958348,Изчерпан,-,118.00
953367,Наличен,-,30.49
953368,Изчерпан,-,36.50
953369,Наличен,-,38.49
953370,Наличен,-,39.51
948159,Наличен,-,88.99
948160,Наличен,-,92.00
952109,Изчерпан,-,12.60
952110,Наличен,-,12.60
952111,Наличен,-,12.60
952112,Наличен,-,12.60
952113,Изчерпан,-,12.60
952114,Изчерпан,-,12.60
952115,Наличен,-,38.00
952116,Наличен,-,38.00
952117,Наличен,-,38.00
952118,Наличен,-,38.00
952119,Наличен,-,38.00
952120,Наличен,-,38.00
949042,Наличен,-,27.91
949599,Наличен,-,39.61
942091,Наличен,-,39.51
944541,Наличен,-,39.51
942090,Наличен,-,38.90
941573,Наличен,-,39.90
946966,Наличен,-,38.49
944779,Наличен,-,38.49
951292,Наличен,-,18.50
946965,Наличен,-,13.91
946274,Наличен,-,15.61
940074,Наличен,-,6.81
940075,Наличен,-,7.30
940356,Изчерпан,-,8.19
940562,Наличен,-,20.91
940563,Наличен,-,21.30
940560,Наличен,-,44.81
940561,Наличен,-,44.81
940558,Наличен,-,22.30
940559,Наличен,-,22.20
944776,Наличен,-,22.49
940556,Наличен,-,27.30
940557,Наличен,-,27.91
940552,Наличен,-,30.20
940553,Наличен,-,30.20
937434,Изчерпан,-,19.30
937435,Изчерпан,-,21.40
937436,Изчерпан,-,22.80
952138,Изчерпан,-,62.00
952139,Наличен,-,62.00
952140,Наличен,-,62.00
952141,Наличен,-,62.00
952142,Наличен,-,66.01
952143,Наличен,-,66.01
952144,Наличен,-,79.50
952407,Наличен,-,57.50
952131,Наличен,-,57.50
952408,Наличен,-,57.50
952132,Наличен,-,62.00
